PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Garrett Hartley	NO	11.1	2.03	2.3	1.24	0.61	0.18	4.5	4.57
Stephen Gostkowski	NE	10.3	2.15	2.58	1.4	0.54	0.22	3.21	3.26
Nate Kaeding	SD	9.7	1.93	2.32	1.26	0.51	0.16	3.39	3.44
Shayne Graham	HOU	9.5	1.88	2.2	1.22	0.48	0.18	3.32	3.37
Justin Tucker	BAL	9.5	1.98	2.41	1.34	0.49	0.14	3.12	3.17
Jason Hanson	DET	9.4	1.92	2.31	1.33	0.46	0.13	3.24	3.28
Alex Henery	PHI	9.3	1.97	2.24	1.23	0.55	0.19	2.86	2.91
Matt Bryant	ATL	9	1.8	2.04	1.08	0.51	0.21	3	3.04
Mason Crosby	GB	8.7	1.6	1.95	1.05	0.42	0.13	3.51	3.56
Rian Lindell	BUF	8.6	1.77	2.12	1.12	0.46	0.19	2.72	2.76
Phil Dawson	CLE	8.4	1.94	2.22	1.18	0.57	0.19	2.03	2.06
Blair Walsh	MIN	8.4	1.79	2.36	1.17	0.42	0.2	2.4	2.44
Sebastian Janikowski	OAK	8.2	1.78	2.13	1.12	0.51	0.15	2.39	2.43
Jay Feely	ARI	8.1	1.74	2.06	1.14	0.44	0.16	2.36	2.4
Steve Hauschka	SEA	8.1	1.69	2.01	1.04	0.45	0.2	2.4	2.44
Dan Bailey	DAL	8.1	1.73	2.04	1.09	0.49	0.15	2.49	2.52
Billy Cundiff	WAS	8	1.87	2.36	1.31	0.43	0.13	2.04	2.08
Rob Bironas	TEN	7.9	1.73	1.95	1.01	0.55	0.17	2.15	2.18
Dan Carpenter	MIA	7.9	1.82	2.19	1.12	0.52	0.18	1.88	1.91
Connor Barth	TB	7.9	1.73	1.96	1.13	0.47	0.13	2.31	2.35
Mike Nugent	CIN	7.8	1.69	2.01	1.03	0.48	0.17	2.21	2.25
Robbie Gould	CHI	7.8	1.51	1.79	1.05	0.34	0.12	2.92	2.97
Shaun Suisham	PIT	7.8	1.68	2.04	1.15	0.41	0.12	2.39	2.42
Lawrence Tynes	NYG	7.7	1.59	2.09	1.13	0.36	0.11	2.63	2.67
Greg Zuerlein	STL	7.6	1.67	2.09	1.14	0.39	0.13	2.15	2.18
Justin Medlock	CAR	7.6	1.56	1.9	1.08	0.35	0.12	2.54	2.58
Ryan Succop	KC	7.5	1.64	2.02	1.1	0.43	0.12	2.22	2.26
Nick Folk	NYJ	7.4	1.65	2.09	1.17	0.37	0.12	2.12	2.15
Matt Prater	DEN	7.2	1.35	1.67	0.96	0.3	0.08	2.95	3
Adam Vinatieri	IND	7	1.49	1.66	0.86	0.45	0.17	2.04	2.07
David Akers	SF	6.9	1.49	1.85	0.98	0.38	0.12	2.05	2.08
Josh Scobee	JAC	6.5	1.56	1.81	0.93	0.48	0.15	1.34	1.36
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Neil Rackers	WAS	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
