PLAYER	TEAM	FP	PT	PUNTYD	PTAVG	PT10	PT20
Chris Kluwe	MIN	16.1	6.19	270	43.6	0.5	1.17
Shane Lechler	OAK	15.1	7.51	356	47.4	0.5	1.23
Daniel Sepulveda	PIT	13.4	6.91	308	44.6	0.3	0.75
Zoltan Mesko	NE	13.4	4.74	210	44.3	0.3	0.71
Pat McAfee	IND	12.9	5.98	264	44.1	0.5	1.32
Adam Podlesh	CHI	12	6.08	260	42.8	0.3	0.8
Sam Koch	BAL	11.9	6.84	304	44.4	0.3	0.82
Steve Weatherford	NYG	11.8	5.45	240	44	0.3	0.8
Tim Masthay	GB	11.3	5.47	238	43.5	0.3	0.7
T.J. Conley	NYJ	11.1	8.23	343	41.7	0.3	0.83
Thomas Morstead	NO	11	5.02	228	45.4	0.5	1.25
Matt Bosher	ATL	10.7	7.5	316	42.1	0.3	0.86
Brandon Fields	MIA	10.3	7.88	368	46.7	0.5	1.19
Mat McBriar	PHI	10.1	3.5	154	44	0.2	0.49
Dustin Colquitt	KC	9.9	6.19	273	44.1	0.4	0.9
Kevin Huber	CIN	9.1	6.09	260	42.7	0.4	0.91
Brian Moorman	BUF	8.8	6.02	269	44.7	0.4	0.97
Mike Scifres	SD	8.5	5.94	273	46	0.4	1
Sav Rocca	WAS	8.5	5.65	240	42.5	0.4	1.11
Britton Colquitt	DEN	7.9	6.71	300	44.7	0.6	1.5
Brad Maynard	CLE	7.8	7.34	294	40.1	0.3	0.86
Bryan Anger	JAC	7.8	6.92	285	41.2	0.4	1.03
Ben Graham	DET	7.1	6.01	256	42.6	0.4	0.91
Brett Kern	TEN	7	7.08	301	42.5	0.4	0.91
Donnie Jones	HOU	6.7	3.31	144	43.5	0.2	0.58
Dave Zastudil	ARI	6.7	6.49	285	43.9	0.4	0.95
Jon Ryan	SEA	6.6	5.61	247	44	0.4	0.99
Johnny Hekker	STL	6.6	6.34	248	39.1	0.3	0.82
Michael Koenen	TB	6.4	5.96	255	42.8	0.5	1.16
Jason Baker	CAR	6.2	5.27	222	42.1	0.3	0.84
Sam Paulescu	SF	6.2	3.09	127	41.1	0.1	0.34
Chris Jones	DAL	5.7	5.05	218	43.2	0.3	0.78
Andy Lee	SF	4.4	3.16	148	46.8	0.2	0.45
Chas Henry	PHI	4.1	3.37	143	42.4	0.2	0.46
Brett Hartmann	HOU	3.4	3.43	149	43.4	0.2	0.6
Matt Turk	JAC	0	0	0	0	0	0
Josh Bidwell	WAS	0	0	0	0	0	0
Reggie Hodges	CLE	0	0	0	0	0	0
Jeremy Kapinos	PIT	0	0	0	0	0	0
Richmond McGee	CLE	0	0	0	0	0	0
Matt Dodge	NYG	0	0	0	0	0	0
Robert Malone	SD	0	0	0	0	0	0
Ryan Donahue	DET	0	0	0	0	0	0
